condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
4_con_duration,0.08,4,0,0,0,3,,,20.98846129188314,24.51629372565076,24.595628058258445,24.695944259036335,24.77879676753655,24.87911296831444,24.961425058264286,25.061741259042176,25.144763850327582,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
1_con_duration,0.62,1,0,1,1,0,,,,25.94729345655069,26.56896601729095,,,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
2_con_duration,0.26,2,0,2,2,1,,,,27.371495623514058,27.63362497529015,27.73394117606804,27.995169183425606,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
1_con_rate,0.02,1,0,3,3,6,,,,28.797698789648713,28.82809214266017,,,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
3_con_rate,0.02,3,0,4,4,8,,,,29.63062174888328,29.652361725643278,29.752677926421168,29.774794933572412,29.875111134350302,29.897360183484853,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
6_con_duration,0.02,6,0,5,5,5,,,,30.69988978970796,30.728159683477134,30.828475884255024,30.851412392407656,30.951728593185546,30.973705433495343,31.074021634273233,31.09784785071388,31.19816405149177,31.228179225418717,31.328495426196607,31.350556850619615,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
6_con_rate,0.02,6,0,6,6,11,,,,32.15308645684272,32.17527272570878,32.27558892648667,32.29901397526264,32.39933017604053,32.427767475321886,32.528083676099776,32.55115405861288,32.65147025939077,32.67625914253294,32.77657534331083,32.79967147549614,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
4_con_rate,0.02,4,0,7,7,9,,,,33.602201081719244,33.628311183489856,33.728627384267746,33.751002850662914,33.851319051440804,33.873447017464784,33.973763218242674,33.99699430838227,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
5_con_duration,0.044,5,0,8,8,4,,,,34.79952391460537,34.844947683345524,34.94526388412341,34.994997683633116,35.095313884411006,35.14490726748481,35.2452234682627,35.29488639226183,35.39520259303972,35.444908767659214,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
2_con_rate,0.02,2,0,9,9,7,,,,36.24743837388232,36.26897180844098,36.36928800921887,36.393669433612374,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
3_con_duration,0.14,3,0,10,10,2,,,,37.19619903983548,37.34504268337041,37.4453588841483,37.59547368362546,37.69578988440335,37.845302850659934,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
5_con_rate,0.02,5,0,11,11,10,,,,38.64783245688304,38.67847222527489,38.77878842605278,38.80192089239135,38.90223709316924,38.92475622538477,39.02507242616266,39.047998850420115,39.148315051198004,39.17833943357691,,,4.wav,39.975465958938,11.mp4,39.975465958938,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
5_con_rate,0.02,5,1,0,12,10,,,,41.80455044023692,41.82685251738876,41.92716871816665,41.94759930828586,42.04791550906375,42.077872475329784,42.17818867610767,42.20231168363243,42.30262788441032,42.325124975480136,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
6_con_duration,0.02,6,1,1,13,5,,,,43.12765458170324,43.14900614246726,43.24932234324515,43.278570933453736,43.378887134231626,43.40139435064047,43.50171055141836,43.524036725703624,43.624352926481514,43.64918872546404,43.74950492624193,43.77855389257893,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
4_con_duration,0.08,4,1,2,14,3,,,,44.58108349880203,44.66234380863607,44.762660009413956,44.84532172530889,44.94563792608678,45.0286303085275,45.128946509305386,45.21193768335506,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
2_con_rate,0.02,2,1,3,15,7,,,,46.014467289578164,46.045247142389414,46.145563343167304,46.16541597545147,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
1_con_duration,0.62,1,1,4,16,0,,,,46.96794558167457,47.58785935044288,,,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
3_con_rate,0.02,3,1,5,17,8,,,,48.39038895666599,48.415632808301595,48.515949009079485,48.54596260068938,48.64627880146727,48.66587505834177,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
1_con_rate,0.02,1,1,6,18,6,,,,49.46840466456487,49.49522372540086,,,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
2_con_duration,0.26,2,1,7,19,1,,,,50.297753331623966,50.562157892342654,50.662474093120544,50.928837350290266,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
5_con_duration,0.044,5,1,8,20,4,,,,51.73136695651337,51.77875114250928,51.87906734328717,51.9286615175195,52.02897771829739,52.07884922549128,52.17916542626917,52.22872076760977,52.32903696838766,52.38999622566625,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
6_con_rate,0.02,6,1,9,21,11,,,,53.192525831889355,53.21713889269158,53.31745509346947,53.33716480871662,53.43748100949451,53.46117897536605,53.56149517614394,53.58633660031482,53.68665280109271,53.711337892524895,53.811654093302785,53.83562864242121,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
4_con_rate,0.02,4,1,10,22,9,,,,54.63815824864432,54.660147475264964,54.76046367604285,54.78315572552383,54.883471926301716,54.90249414248392,55.00281034326181,55.022072517499325,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
3_con_duration,0.14,3,1,11,23,2,,,,55.82460212372243,55.9675155586563,56.06783175943419,56.212253600545225,56.312569801323114,56.46232914244756,,,,,,,4.wav,57.259435541927814,16.mp4,57.259435541927814,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
2_con_rate,0.02,2,2,0,24,7,,,,59.08948606550693,59.10990260047838,59.21021880125627,59.23475939240306,,,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
4_con_duration,0.08,4,2,1,25,3,,,,60.03728899862617,60.1176309755072,60.21794717628509,60.30134389242157,60.40166009319946,60.48495060037821,60.5852668011561,60.667610100656745,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
3_con_rate,0.02,3,2,2,26,8,,,,61.47013970687985,61.49138539256528,61.59170159334317,61.614063892699775,61.714380093477665,61.745622475352135,,,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
4_con_rate,0.02,4,2,3,27,9,,,,62.54815208157524,62.56910472568124,62.66942092645913,62.697143975365904,62.797460176143794,62.820698975306,62.92101517608389,62.94442197559401,,,,,,,,,1,1,2024-09-30_18h52.54.284,audio,2024.1.5,117.65190324097934,
,,,,,,,,,,63.746951581817115,64.40147214261815,,,,,,,,,,,,,,,,,,,,,
