condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image_number,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
6_con_singledot,0.25,6,0,0,0,5,,,5.057879599999978,6_con_singledot_image_1.png,1,36.967431249999976,37.232241390000006,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
2_con_totaldot,0.25,2,0,1,1,7,,,,2_con_totaldot_image_11.png,11,37.39980549999996,37.66437788999996,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
2_con_circum,0.25,2,0,2,2,13,,,,2_con_circum_image_11.png,11,37.83073459999997,38.080997389999986,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
1_con_circum,0.25,1,0,3,3,12,,,,1_con_circum_image_40.png,40,38.24894379999995,38.514385089999955,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
1_con_singledot,0.25,1,0,4,4,0,,,,1_con_singledot_image_4.png,4,38.68145679999998,38.93071588999998,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
3_con_totaldot,0.25,3,0,5,5,8,,,,3_con_totaldot_image_66.png,66,39.09726759999995,39.347384889999994,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
5_con_totaldot,0.25,5,0,6,6,10,,,,5_con_totaldot_image_25.png,25,39.5139504,39.76723619,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
3_con_circum,0.25,3,0,7,7,14,,,,3_con_circum_image_16.png,16,39.930934399999956,40.184907790000004,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
6_con_circum,0.25,6,0,8,8,17,,,,6_con_circum_image_1.png,1,40.35388329999995,40.61442458999999,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
4_con_singledot,0.25,4,0,9,9,3,,,,4_con_singledot_image_60.png,60,40.78398219999997,41.03481508999999,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
5_con_singledot,0.25,5,0,10,10,4,,,,5_con_singledot_image_58.png,58,41.201460699999984,41.451202389999985,,,,,1,1,2024-10-29_10h05.55.903,visual,2024.1.5,59.66419796104643,
