condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
6_con_duration,0.02,6,0,0,0,5,,,21.279358750209212,23.051592946657912,23.088341987365858,23.188978337170557,23.21139248753898,23.31202883734368,23.33400811268948,23.43464446249418,23.45650682146661,23.55714317127131,23.588453446654604,23.689089796459303,23.711464904388414,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
2_con_rate,0.02,2,0,1,1,7,,,,24.51655570282601,24.541016404656695,24.641652754461393,24.671820862358437,,,,,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
4_con_rate,0.02,4,0,2,2,9,,,,25.476911660796034,25.50448252973147,25.605118879536167,25.627486487524585,25.728122837329284,25.749980987655,25.8506173374597,25.87309927972965,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
5_con_rate,0.02,5,0,3,3,10,,,,26.678190078167248,26.704549946496265,26.805186296300963,26.82614602954127,26.92678237934597,26.955248654494063,27.055885004298762,27.077946154540406,27.178582504345105,27.205174904456364,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
4_con_duration,0.08,4,0,4,4,3,,,,28.01026570289396,28.09434011266567,28.19497646247037,28.278898029727863,28.37953437953256,28.460560529632495,28.561196879437194,28.64388702963479,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
5_con_duration,0.044,5,0,5,5,4,,,,29.448977828072387,29.493802862381564,29.594439212186263,29.63856648760848,29.739202837413178,29.788592029502617,29.889228379307315,29.937992404354738,30.038628754159436,30.088575737690554,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
1_con_rate,0.02,1,0,6,6,6,,,,30.89366653612815,30.92130807149224,,,,,,,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
3_con_rate,0.02,3,0,7,7,8,,,,31.726398869929838,31.745517404424028,31.846153754228727,31.866636571614073,31.967272921418772,31.989506404520945,,,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
1_con_duration,0.62,1,0,8,8,0,,,,32.79459720295854,33.422307279566304,,,,,,,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
2_con_duration,0.26,2,0,9,9,1,,,,34.2273980780039,34.488990946346895,34.5896272961516,34.85559911248274,,,,,,,,,,,,,1,1,2024-10-02_13h10.03.877,audio,2024.1.5,120.48356067982914,
