condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
1_con_rate,0.02,1,0,0,0,6,,,15.505323207999993,18.088130725399964,18.112911766400003,,,,,,,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
4_con_rate,0.02,4,0,1,1,9,,,,18.912427806199958,18.940690225399948,19.039599426199942,19.061830600399986,19.16073980119998,19.181741183399964,19.28065038419996,19.307582433399972,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
3_con_rate,0.02,3,0,2,2,8,,,,20.107098473199926,20.12838905839996,20.227298259199955,20.247855808399976,20.34676500919997,20.373961725399994,,,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
2_con_duration,0.26,2,0,3,3,1,,,,21.173477765199948,21.440363641399955,21.53927284219995,21.8073932664,,,,,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
4_con_duration,0.08,4,0,4,4,3,,,,22.606909306199952,22.69074743339999,22.789656634199986,22.873985350399977,22.97289455119997,23.05721651639996,23.156125717199956,23.240774725399973,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
6_con_duration,0.02,6,0,5,5,5,,,,24.040290765199927,24.0604831414,24.159392342199993,24.179757808399955,24.27866700919995,24.30883401639997,24.407743217199965,24.428305308399985,24.52721450919998,24.547566975399974,24.646476176199968,24.674003975399984,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
5_con_rate,0.02,5,0,6,6,10,,,,25.473520015199938,25.494048933399966,25.59295813419996,25.614069141399995,25.71297834219999,25.74094014139999,29.408013933399985,29.440769183399965,29.53967838419996,29.56096260039996,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
6_con_rate,0.02,6,0,7,7,11,,,,30.360478640199915,30.38114676639995,30.480055967199945,30.500725766399995,30.59963496719999,30.624481058399994,30.723390259199988,30.743702975399998,30.842612176199992,30.863048850399963,30.961958051199957,30.982243975399996,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
5_con_duration,0.044,5,0,8,8,4,,,,31.78176001519995,31.830200100399992,31.929109301199986,31.97424301639998,32.073152217199976,32.12406439139997,32.22297359219996,32.27410935039998,32.373018551199976,36.45933693339995,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
2_con_rate,0.02,2,0,9,9,7,,,,37.25885297319991,37.2910661004,37.389975301199996,37.410630725399955,,,,,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
1_con_duration,0.62,1,0,10,10,0,,,,38.21014676519991,38.834245975399966,,,,,,,,,,,1,1,2024-10-02_13h50.31.149,audio,2024.1.5,120.28163994107769,
,,,,,,,,,,39.63376201519992,39.77424643339995,39.87315563419995,40.0139113914,40.112820592199995,40.25771876639996,,,,,,,,,,,,,
