condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
5_con_circum,0.25,5,0,0,0,16,,,113.49306487501599,5_con_circum_image_70.png,117.43425340839894,117.69112703819701,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,0,1,1,14,,,,3_con_circum_image_33.png,117.79850015456032,118.04792262120463,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,0,2,2,4,,,,5_con_singledot_image_54.png,118.15603532157547,118.40722466319858,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,0,3,3,7,,,,2_con_totaldot_image_23.png,118.51343277956767,118.76522762120294,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,0,4,4,12,,,,1_con_circum_image_65.png,118.87324573857768,119.12385762120539,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,0,5,5,2,,,,3_con_singledot_image_51.png,119.2300485715823,119.48148537120142,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,0,6,6,8,,,,3_con_totaldot_image_55.png,119.5891955295665,119.84149016319134,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,0,7,7,3,,,,4_con_singledot_image_20.png,119.94863057158364,120.19850874620897,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,0,8,8,11,,,,6_con_totaldot_image_6.png,120.30602111357439,120.55796791320608,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,0,9,9,5,,,,6_con_singledot_image_40.png,120.66421661358618,120.91531816321367,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,0,10,10,10,,,,5_con_totaldot_image_27.png,121.02348711357627,121.27441532920056,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,0,11,11,13,,,,2_con_circum_image_64.png,121.38217727957817,121.63199549620913,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,0,12,12,15,,,,4_con_circum_image_46.png,121.73921598856396,121.99054028819955,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,0,13,13,1,,,,2_con_singledot_image_3.png,122.09681086357159,122.3481828711956,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
