condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image_number,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
4_con_circum,0.25,4,0,0,0,15,,,18.047631290974095,4_con_circum_image_24.png,24,20.193727508292067,20.445274466404225,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_totaldot,0.25,1,0,1,1,6,,,,1_con_totaldot_image_19.png,19,20.636643484199883,20.887772091303486,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_totaldot,0.25,4,0,2,2,9,,,,4_con_totaldot_image_63.png,63,21.069301059795542,21.320280924311373,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_singledot,0.25,3,0,3,3,2,,,,3_con_singledot_image_44.png,44,21.501811600732616,21.75415459134383,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_singledot,0.25,1,0,4,4,0,,,,1_con_singledot_image_64.png,64,21.93566197573673,22.187008758296724,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_singledot,0.25,2,0,5,5,1,,,,2_con_singledot_image_53.png,53,22.377097693120593,22.62826225835597,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_totaldot,0.25,3,0,6,6,8,,,,3_con_totaldot_image_64.png,64,22.810923600778914,23.061650758364703,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_singledot,0.25,5,0,7,7,4,,,,5_con_singledot_image_26.png,26,23.244950225786305,23.495001466351095,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_singledot,0.25,4,0,8,8,3,,,,4_con_singledot_image_26.png,26,23.67753968478646,23.928178799326997,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_circum,0.25,2,0,9,9,13,,,,2_con_circum_image_51.png,51,24.11209435071796,24.36155384137528,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_circum,0.25,6,0,10,10,17,,,,6_con_circum_image_6.png,6,24.553005609160753,24.80448596632341,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_totaldot,0.25,2,0,11,11,7,,,,2_con_totaldot_image_40.png,40,24.98612593472935,25.236988258303608,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_circum,0.25,3,0,12,12,14,,,,3_con_circum_image_14.png,14,25.418485017702913,25.67113025834551,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_totaldot,0.25,5,0,13,13,10,,,,5_con_totaldot_image_70.png,70,25.852647809754124,26.105401091382372,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_singledot,0.25,6,0,14,14,5,,,,6_con_singledot_image_35.png,35,26.296120526117736,26.547130341397132,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_circum,0.25,5,0,15,15,16,,,,5_con_circum_image_56.png,56,26.72833643478807,26.97838254935341,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_totaldot,0.25,6,0,16,16,11,,,,6_con_totaldot_image_70.png,70,27.160980309802106,27.411250674386974,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_circum,0.25,1,0,17,17,12,,,,1_con_circum_image_27.png,27,27.595532767800613,27.84457167434739,3.wav,27.945695207919925,2.mp4,27.945695207919925,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_totaldot,0.25,3,1,0,18,8,,,,3_con_totaldot_image_39.png,39,29.885649481706785,30.137766966351773,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_singledot,0.25,6,1,1,19,5,,,,6_con_singledot_image_44.png,44,30.32794160916237,30.578290549328084,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_totaldot,0.25,5,1,2,20,10,,,,5_con_totaldot_image_57.png,57,30.76134605971165,31.011327591363806,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_singledot,0.25,2,1,3,21,1,,,,2_con_singledot_image_57.png,57,31.195120600727385,31.44608950834954,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_singledot,0.25,1,1,4,22,0,,,,1_con_singledot_image_44.png,44,31.667264968319795,31.916755133296828,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_circum,0.25,4,1,5,23,15,,,,4_con_circum_image_59.png,59,32.1663823769195,32.4237059242907,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_totaldot,0.25,2,1,6,24,7,,,,2_con_totaldot_image_18.png,18,32.614398484199775,32.87103467433481,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_circum,0.25,5,1,7,25,16,,,,5_con_circum_image_48.png,48,33.05251339273528,33.303899758367336,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_singledot,0.25,5,1,8,26,4,,,,5_con_singledot_image_4.png,4,33.49371065114392,33.74860734130489,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_totaldot,0.25,4,1,9,27,9,,,,4_con_totaldot_image_19.png,19,33.93000468469691,34.18744059138699,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_totaldot,0.25,1,1,10,28,6,,,,1_con_totaldot_image_10.png,10,34.3773550261627,34.62963679932291,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_circum,0.25,3,1,11,29,14,,,,3_con_circum_image_41.png,41,34.81216880979483,35.062120466365016,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_singledot,0.25,3,1,12,30,2,,,,3_con_singledot_image_53.png,53,35.25282931813272,35.504333841369956,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_circum,0.25,2,1,13,31,13,,,,2_con_circum_image_61.png,61,35.68584672568832,35.937600883294365,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_singledot,0.25,4,1,14,32,3,,,,4_con_singledot_image_17.png,17,36.11916622575373,36.37113150836667,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_totaldot,0.25,6,1,15,33,11,,,,6_con_totaldot_image_12.png,12,36.552620142791426,36.80434209130472,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_circum,0.25,6,1,16,34,17,,,,6_con_circum_image_23.png,23,36.986387892719364,37.23769884136273,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_circum,0.25,1,1,17,35,12,,,,1_con_circum_image_26.png,26,37.419367809756665,37.671098591398916,2.wav,37.77058008289896,13.mp4,37.77058008289896,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_totaldot,0.25,6,2,0,36,11,,,,6_con_totaldot_image_15.png,15,39.68135056473548,39.937511133367664,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
4_con_totaldot,0.25,4,2,1,37,9,,,,4_con_totaldot_image_66.png,66,40.13623565954622,40.38749296636088,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_singledot,0.25,6,2,2,38,5,,,,6_con_singledot_image_32.png,32,40.56916914272588,40.84129496639362,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
6_con_circum,0.25,6,2,3,39,17,,,,6_con_circum_image_53.png,53,41.139331902109554,41.395280508312865,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_singledot,0.25,3,2,4,40,2,,,,3_con_singledot_image_35.png,35,41.57863385076635,41.82890684133163,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_totaldot,0.25,5,2,5,41,10,,,,5_con_totaldot_image_53.png,53,42.01966615110869,42.27112754933769,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_totaldot,0.25,2,2,6,42,7,,,,2_con_totaldot_image_9.png,9,42.46119431810221,42.712023258314005,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_circum,0.25,3,2,7,43,14,,,,3_con_circum_image_44.png,44,42.89463985068724,43.14480675837258,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_circum,0.25,1,2,8,44,12,,,,1_con_circum_image_7.png,7,43.336808526155075,43.58787579938071,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_singledot,0.25,1,2,9,45,0,,,,1_con_singledot_image_29.png,29,43.769464434799744,44.02158992433688,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
2_con_singledot,0.25,2,2,10,46,1,,,,2_con_singledot_image_16.png,16,44.20312085070182,44.45412325834623,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
1_con_totaldot,0.25,1,2,11,47,6,,,,1_con_totaldot_image_29.png,29,44.635842809779575,44.888216174312404,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
5_con_singledot,0.25,5,2,12,48,4,,,,5_con_singledot_image_30.png,30,45.06977222578135,45.32157809134806,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
3_con_totaldot,0.25,3,2,13,49,8,,,,3_con_totaldot_image_51.png,51,45.51146081819898,45.76145234132419,,,,,1,1,2024-10-28_22h34.19.371,visual,2024.1.5,119.89634958421668,
