"[0.3117882285537756, 0.0501477956884749]","[0.11260309625028372, 0.07360892773717488]"
"[-0.4388162963024856, 0.012747354011348268]","[-0.25778252596164813, -0.0725243012833618]"
"[-0.18297330538109038, -0.21414694598264036]","[-0.142637485764059, -0.4104606454802735]"
"[-0.4467893479489102, -0.22581842762643003]","[-0.4000839656952758, -0.42052920818883577]"
"[0.13297292866249386, 0.06025484869108973]","[0.28557613552292727, -0.07163983133377107]"
"[-0.3816600107943647, 0.22388977497520565]","[-0.4329196782062761, 0.030497913904959855]"
"[-0.19900127023963315, 0.1535147668108214]","[0.002318120040021281, 0.15790986478190547]"
"[0.2993779015087566, -0.4339399634362821]","[0.10140628678991045, -0.4021565275697495]"
"[-0.2904529807004541, -0.0749144467025098]","[-0.255017491070774, -0.2723882485771054]"
"[-0.0038692586798917804, 0.5517553145437887]","[-0.12914656835123267, 0.39562862845840363]"
"[0.18882992317391464, 0.4250596204039085]","[0.31468652924005125, 0.2692435946394674]"
"[0.0121880809449489, -0.1426370819461159]","[0.18745203504059604, -0.23899790014033834]"
"[-0.3039932320985461, -0.18616339216934838]","[-0.4946122966548504, -0.25232724025517966]"
"[0.2717663468927799, -0.2864007153230634]","[0.4629756911302328, -0.34546108654320723]"
"[0.5014283061453465, 0.29544272387904896]","[0.33174014851467515, 0.401643135337035]"
"[-0.3658031607649822, -0.17093201846040593]","[-0.254261686192181, -0.004481075609763093]"
"[0.24938300245387468, 0.46131714229124005]","[0.15064365058251333, 0.2871937549229124]"
"[0.04441446162876075, -0.15946036630181112]","[0.22532621635322836, -0.24574197152135335]"
"[-0.44440557919156765, -0.11541589897129835]","[-0.24834551906601116, -0.07309549044077414]"
"[0.09209900720554251, -0.3282449957925277]","[-0.10670597913217007, -0.30329071279353925]"
"[0.5148712402211891, 0.026117816930368482]","[0.35989618533655154, 0.15549024651852733]"
"[0.3796906886576292, -0.07473178494469478]","[0.2743440475192981, 0.09530670464842085]"
"[-0.1466498323495205, 0.3342773916006608]","[0.04224659173854057, 0.2683699821778993]"
"[0.28883555433724256, 0.3414508871795655]","[0.48554926115513164, 0.3024335357775798]"
"[0.4252378133695856, 0.0996388530380039]","[0.5163238522988729, -0.07876394654286252]"
"[0.12392956086358807, 0.34395191968244965]","[0.31290469438256174, 0.4098208381962222]"
"[-0.2788480470704897, 0.10955348706099009]","[-0.07855085224105104, 0.10742441727978377]"
"[-0.28209232870880646, 0.2395763150667576]","[-0.231301121899441, 0.4337878204066006]"
"[-0.14742710949137375, 0.13147152598618944]","[-0.014887071373221199, 0.281359243306126]"
"[-0.41417516753930333, 0.3447096442289485]","[-0.2860564298770704, 0.49932189989444326]"
"[-0.5599820881787987, 0.02345020124526027]","[-0.5250180208905437, 0.2205322569018687]"
"[0.10198607066738416, -0.3242379392669054]","[-0.09924872705728305, -0.33271265286860047]"
"[0.19904493620128114, -0.4692176125292485]","[0.3929316889804579, -0.41942029107982465]"
"[0.485636812732176, -0.061106534815535914]","[0.28719117426968643, -0.08661971965038553]"
"[0.4242516295774971, 0.013770751907864833]","[0.4875388730159558, 0.20364481234937343]"
"[-0.2768234212394769, -0.21644442914146858]","[-0.40074973709591993, -0.3734413665486337]"
"[-0.45594763731626503, -0.2650356492178281]","[-0.32157426491827007, -0.4132711893131273]"
"[0.1354264023228471, -0.29933710115412887]","[0.33072611308188343, -0.34259422901909137]"
"[0.018470845385398327, -0.044954012183463156]","[0.16265538264147883, -0.18381723160207863]"
"[0.1850604169965581, -0.16602403926418272]","[0.17980666106791893, 0.033961329512552194]"
"[-0.20530061827507323, -0.4306994794052465]","[-0.03688141734648811, -0.32282954396754726]"
"[-0.3781479421072011, -0.2507672970224771]","[-0.19342070047426324, -0.32822114658454404]"
"[0.2584161029085156, 0.026293754784965852]","[0.18573359323469893, 0.2137552885971818]"
"[0.19359925937874134, -0.17215291575575598]","[0.05466658360007327, -0.3163155586858288]"
"[-0.04570468357347885, 0.44008212861094925]","[-0.2429726892731754, 0.4047944957462653]"
"[-0.3477816423847704, -0.31392160279728487]","[-0.15656034884935055, -0.3742239588160202]"
"[-0.18597161642259166, -0.2462351333037844]","[-0.3281657733077326, -0.10522782742030225]"
"[0.07837293540450098, -0.48987150518457345]","[0.06326039026760408, -0.2899949828283932]"
"[-0.19136184352460056, -0.493951037310808]","[-0.38551035095233394, -0.44498121986956474]"
"[-0.49265540079991227, 0.24437886786225407]","[-0.3893514299578199, 0.07225879461421522]"
