"[0.40725117296400126, 0.13634553105906247]","[0.399653105094978, -0.06972658284960237]","[0.18760620643368595, 0.046569581851810454]"
"[-0.359557929878744, -0.15410557925161986]","[-0.19877513222826135, -0.3200380127758799]","[-0.3950413180115514, -0.37394475044674924]"
"[-0.4354736147526383, 0.3230547043808546]","[-0.2231485632128549, 0.17469183686847337]","[-0.4247612139747986, 0.11868549085283137]"
"[0.5418356036824183, -0.09879178885376665]","[0.34020467962745776, -0.015409473716791485]","[0.5384502466278716, 0.1100998884208478]"
"[0.38922657596767235, 0.12960862318727476]","[0.17240892909897945, 0.17593310759688763]","[0.1934431843231938, -0.023969933199734245]"
"[-0.24061819742128338, 0.4825174508546569]","[-0.10134344922490411, 0.30775523603278404]","[-0.022863397148648445, 0.49884898354058704]"
"[0.2317127468102816, 0.4024142001157741]","[0.0982159816084554, 0.20327141823065553]","[0.31693571987816566, 0.20942166014729455]"
"[0.1033470774359155, 0.2295334092005463]","[-0.03374402172956099, 0.07501553092803549]","[-0.11196358294329473, 0.26140222097907]"
"[0.4448467406668218, -0.0763597821013277]","[0.25327194568563854, -0.20058192734357036]","[0.22235948494866686, 0.0016424328114903524]"
"[0.001750556570537549, 0.20859009810442755]","[0.17253507663559217, 0.10059941930136733]","[-0.05315271170373847, 0.004411149044847166]"
"[0.044912409968248745, 0.5469125836561971]","[0.0579683458288207, 0.34245898602013086]","[-0.15029840055536672, 0.44861822236874355]"
"[0.22809095598928103, 0.05425543761920954]","[0.27251628829934293, -0.14726757633874782]","[0.4467118516530882, 0.04705826341719301]"
"[-0.22764091258484315, -0.2844688221754874]","[-0.35697491719781965, -0.45339159949317215]","[-0.07214605069241001, -0.4320620334706889]"
"[0.15747404046076516, 0.07106759399769676]","[0.06610355811400001, -0.12913857965401737]","[-0.10180592578163257, -0.012991942556823342]"
"[0.1161948089159025, -0.34644369612291137]","[0.07850666376256912, -0.13936174295830075]","[-0.10390640419024846, -0.26980034256638497]"
