"[0.2169466950936896, 0.3004267824263327]","[0.4136932646055376, 0.3408937545126788]","[0.5125075330731433, 0.14746942750046574]","[0.3005661732162069, 0.08320576664343113]"
"[-0.16346854917042383, -0.40499384768366153]","[0.04923093316643021, -0.2688833316051689]","[-0.11103470409113941, -0.12947026732902583]","[0.009060384396995101, -0.5115099090099499]"
"[-0.5300394922723436, 0.007186641943377128]","[-0.3909262920150554, -0.15965724358657957]","[-0.3319900804064127, 0.04002478947568709]","[-0.46041853386703946, 0.20087726790062432]"
"[0.15524123357291394, 0.0966796784525171]","[0.016225905894543945, 0.39602586055904826]","[-0.035821982310229906, 0.17140789580300325]","[0.22856635002275846, 0.36013600596678197]"
"[-0.2708755771013568, 0.2906741743539138]","[-0.24091788699081784, 0.5378072625753566]","[-0.018723330095546487, 0.5809377320798329]","[-0.047567960501001864, 0.3402469616950729]"
"[0.49811618306368366, -0.15332654824493694]","[0.22598309386940058, -0.37190516821659053]","[0.27730923926469253, -0.15063164546333987]","[0.45155714869427405, -0.3558492701188982]"
"[-0.3350743449391595, -0.4855356127428772]","[0.05043856663938882, -0.2705812540401971]","[-0.17301564787376814, -0.2428784914825358]","[-0.11356463032751314, -0.4609931549036099]"
"[-0.49330216362677265, -0.05029571590903769]","[-0.3234082728211274, 0.2102217571407448]","[-0.2776062527771938, -0.001340839124607533]","[-0.534840533386801, 0.2193586832047249]"
"[0.1115022178495188, 0.35624664916693466]","[0.07762912746459377, 0.09838938835749857]","[0.29190097213681576, 0.21528466130139387]","[0.2419773031452535, -0.03522676098813571]"
"[-0.07209250080148989, 0.4963948750761222]","[0.08879378922081822, 0.19224284126699695]","[0.10790692281669954, 0.3970158053073481]","[-0.17364141890345486, 0.2798532270201794]"
"[-0.07447572095137278, 0.5210334460979646]","[0.14060756578318717, 0.42615011663608254]","[-0.1277172131851453, 0.2877209278823619]","[0.08472794500940314, 0.21499478923981574]"
"[-0.2938714768875454, 0.29662986513189743]","[-0.12994290955192264, 0.18069407274415225]","[-0.36695613986115155, 0.10770228882769828]","[-0.2520524391990081, -0.09163938504192479]"
"[0.34757401717063835, -0.4040729151658713]","[0.21489944342189587, -0.25199728609437494]","[0.2534639316510774, -0.008587767921126397]","[0.41469786641725354, -0.19813330435324789]"
"[0.2590358130508485, -0.418430052483838]","[-0.010942751977231858, -0.25301829769080597]","[-0.011617979857002867, -0.46408897398323506]","[0.22037323157077957, -0.20151601592210042]"
"[-0.04265698772761169, -0.5466264298048154]","[0.017945051153401448, -0.26444206942868537]","[0.3309146239607752, -0.3961002026010724]","[0.14187442295614966, -0.46306186497388035]"
"[0.4481868387699803, -0.22311420331948284]","[0.229155235209684, -0.23757331552543845]","[0.39375104756191304, 0.009119787671762799]","[0.18122975663851434, -0.025986783648946504]"
"[0.20933530987501178, -0.33122470809451393]","[0.4934328017038839, -0.06907504237396082]","[0.18382449522043326, -0.13262080497997739]","[0.4019421124944821, -0.26638416173223023]"
"[0.03124921253642962, -0.30905398618708074]","[-0.16742642385911358, -0.4203925190559876]","[-0.13828547736502989, -0.1768641985343462]","[0.05664831431574982, -0.10910607451939883]"
"[0.31893295048124637, 0.47697625843896]","[0.33619287815069965, 0.07742355939569591]","[0.44972758424738973, 0.3048881409831378]","[0.21302597325172468, 0.26204199207644757]"
"[0.0004470270101730112, -0.5857368435005629]","[-0.16534451384608195, -0.41607948394237304]","[0.2628465405146704, -0.5215314575447852]","[0.07613924194978083, -0.3806875475361725]"
"[0.16723392641777113, 0.32946004890402925]","[-0.06157386102368497, 0.3459037282874231]","[-0.0345406062323888, 0.14183294094398258]","[-0.023448610770095513, 0.5425279637184077]"
"[0.18703842493047726, -0.2133254574144391]","[0.11335717067516564, -0.41556697944961296]","[-0.019701853876143847, -0.24400850880327188]","[-0.0640413207746771, -0.026856161682373994]"
"[-0.1090619036138191, 0.34214935542675007]","[-0.25525740025905047, 0.007845352042196472]","[-0.259530905685644, 0.20930597737858864]","[-0.44474693901505746, 0.08668939608738302]"
"[0.3352668686364574, 0.4671752502185397]","[0.35656206134045604, 0.15364059799958163]","[0.12416581503566655, 0.454114373959747]","[0.18218121980581065, 0.2545724752080207]"
"[-0.0823302677974527, -0.39520963001238707]","[0.2893586197237817, -0.22485678159865014]","[0.06584698017250457, -0.14913658417966558]","[0.12796062939211664, -0.3698216973011974]"
"[-0.043194165531034896, -0.5253858497820838]","[-0.3946556110912365, -0.29577349339379105]","[-0.056583213664746126, -0.279560278595417]","[-0.21048595967552913, -0.4131542399835061]"
"[0.28762666851658464, 0.10143206797959596]","[0.08387205464250906, 0.07336145338865244]","[0.3520138396098279, 0.4081986010934104]","[0.14582378403964344, 0.266091380691111]"
"[0.3280833926574669, 0.2362986941623984]","[0.5331915022066817, 0.20394692293322916]","[0.16421758929360455, 0.11862742854943863]","[0.2927266941871783, -0.04477991700972322]"
"[0.48192660603028314, -0.08722267051912443]","[0.3092933484398835, 0.13992152984724712]","[0.5317898226633784, 0.1501728310583881]","[0.26335874448134333, -0.07245787949762986]"
"[-0.40976189966717225, 0.05736877227192148]","[-0.5413974402661036, 0.21346556140237968]","[-0.12893303142899293, 0.04877308742397557]","[-0.3393890417305284, 0.24822818515566986]"
