"[-0.32682921321541364, -0.36823208173394867]","[-0.21748240927912127, -0.01636308723938901]","[-0.15322337335302427, -0.2646297599352036]","[-0.026706544418862766, 0.06192748695143583]","[-0.35974101144571835, -0.16966564941275206]"
"[-0.2989929644265349, -0.05805276531385226]","[0.10878518603275487, -0.011359592224120543]","[-0.15417457861164324, -0.30938266134159387]","[-0.17548354354418177, 0.09927950693016921]","[-0.0660120818216134, -0.1278602853819721]"
"[-0.3905363480930225, 0.03084469666597732]","[-0.14139316179550318, 0.34855252751314375]","[-0.17933988981421822, 0.014977514607972827]","[-0.013589133971734814, 0.15026741459964085]","[-0.35630902871087194, 0.22822099081439376]"
"[-0.028187686891626512, 0.3328541761521947]","[0.3079825010027925, 0.3002247230008674]","[-0.0400320729198179, 0.5397935589467484]","[0.1323636044356345, 0.18937078355996104]","[0.16359536653122203, 0.5051148235994726]"
"[-0.185757953798252, -0.34766938061371017]","[-0.17885984872547692, -0.5507100598554043]","[0.11212381276685365, -0.38234954388785225]","[-0.21615592085618612, -0.11891396488689523]","[-0.025795298317336905, -0.22206886809983317]"
"[-0.04774775954167363, -0.2629729154213148]","[0.047179657185969816, -0.4456792724715801]","[-0.2585237894426297, -0.23382267013795116]","[0.0008681860890737866, -0.06076468670562222]","[-0.20672250173476994, -0.46057867579187056]"
"[-0.39958734553994835, 0.11181803342822698]","[-0.19688279982833598, 0.1693320361964791]","[0.013276825242191046, 0.09744702181802974]","[-0.4016180703001376, -0.11636199975461801]","[-0.18369324362742248, -0.039978116625107175]"
"[0.2706808025139728, 0.13078884045841593]","[0.12813346245151638, -0.12681005972836967]","[0.3445665070092266, -0.06382509095572556]","[0.3118113254641076, -0.28482135428002636]","[0.03965149446502466, 0.05548226168339225]"
"[-0.12310322187043295, -0.11817420407705254]","[0.28675418074818243, -0.11153909926295072]","[-0.14126714141202, -0.3372173561964121]","[0.06978581999102337, -0.1733369059026029]","[0.15643023297421046, -0.36150487188963903]"
"[0.45653991147895695, -0.2987403072615793]","[0.06675545652043621, -0.27594859728475174]","[0.26945750901034154, -0.39058491768436493]","[0.43632697014206157, -0.03793026018229577]","[0.2479574823758422, -0.15377026153790888]"
"[0.46686388534867246, -0.08805123334343082]","[0.26461036299364254, 0.10951746836649127]","[0.17220363451210036, 0.33522291377163566]","[0.5290348296914507, 0.1068998379042369]","[0.39804438633189426, 0.2935938136547539]"
"[0.007060185543791593, -0.1631375325465867]","[-0.10173401396783933, -0.34112585835930814]","[0.131971659139152, -0.34667448164047143]","[-0.2970865846646313, -0.47905101337018663]","[-0.20290234518802186, -0.14725483593445385]"
