"[0.03829155641262875, 0.18987544103785073]","[0.29363192088246604, 0.2940551004202359]","[0.44164475717462337, -0.06523852104108387]","[-0.06075227194103184, -0.4588961354932908]","[0.2525390251782715, 0.001889414679676673]","[0.07790864350962001, -0.15515250841543027]"
"[-0.23616446883328615, 0.12220758366872536]","[0.05990778271257805, 0.09017117509744994]","[-0.22619756388957737, -0.3475665251297587]","[-0.49472819581957467, 0.003340089110009193]","[-0.09451108366562284, -0.13326182837738884]","[0.13691089021186056, -0.14285409415347625]"
"[-0.15024502903962117, -0.3067743355032666]","[0.1432451527964681, -0.3380608655178709]","[0.1441877685789961, 0.2742044324582013]","[0.37030262015486226, 0.061926650116408036]","[-0.03824580975442753, 0.11768717148653202]","[0.12345872594000966, -0.06647848592986261]"
"[-0.11703308923560453, 0.4656468247614856]","[0.4838540878353265, 0.29314445048406207]","[0.03229332030566441, -0.27254432544661533]","[0.2243191597304278, -0.1373251173765153]","[0.1382123031053248, 0.36708667233399384]","[-0.28507173666232044, 0.2055433845311233]"
"[0.257861316889361, 0.11448188314828285]","[0.3161891655423115, 0.41852105932205286]","[-0.1655642808599667, 0.052592184079587954]","[0.04819602494000209, 0.3269564602516381]","[0.21546703344550858, -0.22353057640513088]","[-0.07451105937519467, -0.13362854181851078]"
"[0.3852020468177221, -0.37995268391932413]","[0.16506777496501243, -0.25217954525124076]","[0.4012005322130073, -0.13283343923339078]","[-0.34186612119611715, -0.3004010087361866]","[0.2613718433344143, 0.203799737484699]","[0.10311318872397152, 0.031197704448601083]"
"[0.1857492259200372, 0.30907476255698807]","[0.38663267225720344, -0.06687710049446545]","[-0.34588491305365354, 0.32429542493079266]","[0.03209535139985707, 0.007995486553488217]","[-0.09038392354401566, 0.315826104192041]","[-0.17204537517812155, 0.05415417705580442]"
"[0.041292079221111354, 0.040714776023658875]","[-0.2685705556598307, 0.3579724321528284]","[0.07033422678463701, 0.34674019678047524]","[-0.3225687548726161, 0.04779421766895593]","[0.29394791741221304, 0.07712014344462811]","[-0.06535011548731137, 0.5688360220596608]"
"[0.06461436338301321, 0.18624855871857307]","[-0.344458561069167, -0.1132452944322544]","[0.05403456732678359, -0.10779121584832765]","[-0.12478675077606544, -0.3303847718415477]","[-0.10154292514748235, 0.04704516575638513]","[-0.27460009464727164, 0.252167473060529]"
"[-0.5799627121472766, -0.06478077219470162]","[-0.07184810035331489, -0.05193455280119683]","[-0.3537785652441773, -0.11118736516934218]","[-0.4806554471154814, 0.32254347620655155]","[0.14243267876813612, -0.03800105006856146]","[-0.20277705810341, -0.2476135756713756]"
"[0.5074139738836273, 0.1930244121107269]","[-0.1800403876890296, 0.2574008438095671]","[0.22446338282589887, 0.49673165081595666]","[0.2990705805379102, 0.29170478278880363]","[0.0024542595386418237, 0.44729366216746574]","[0.04021932001287316, 0.2210312886086023]"
