"[0.3504639040663119, -0.33849334370101514]","[0.36625069975448976, 0.19458367606279295]","[-0.037198144680584994, -0.26185521569713455]","[0.241920520171915, -0.033561857459588756]","[-0.026406219599393117, 0.027249943800915763]","[0.1792829732825211, -0.46428238143801126]","[-0.23447677980205148, -0.05695704033860004]"
"[0.08654560363064771, 0.42490996220760646]","[-0.014161617287473834, -0.2797224053674571]","[-0.3163183572462839, -0.0389925473633477]","[0.36936485357508414, -0.2860568747400015]","[0.23728323846983415, -0.0616088292471294]","[-0.12898937609399636, 0.17099908442851025]","[0.02358078666886548, -0.06791873527741782]"
"[0.017758718545782256, 0.5878957247058887]","[-0.05381476216249566, 0.27939249985852277]","[-0.10441106416707333, 0.04272320458281351]","[0.1816287604394583, 0.19410866015055]","[0.463929618725861, 0.24323490192433217]","[-0.08757937425634797, -0.26834109679319235]","[0.1046585849013571, -0.06247494941934106]"
"[-0.020315976530229648, -0.2665559806663883]","[0.27752048625442255, -0.09615985646413669]","[0.03345672616290928, 0.14152212712892748]","[0.3305062309334266, -0.3613643742369605]","[-0.22727349322223897, -0.33156034987172855]","[-0.09361907382813194, -0.026140705855573012]","[0.10288770358463753, -0.5454250320706616]"
"[0.35023642342722805, -0.42460013544453146]","[0.3006778034713915, -0.1149124502852298]","[0.27154778848882744, 0.14339672134152043]","[0.020473995187582618, 0.09262992413420192]","[0.09802034917955263, -0.19252996250966734]","[-0.22201801589865103, -0.1795600001652448]","[0.5091482439898822, -0.1633062693582913]"
"[-0.3293098937957115, -0.11281917047050745]","[-0.4184172503765057, 0.15052589055257729]","[-0.5605732567152089, -0.030258294582465685]","[0.09873369655206903, 0.05317069645915434]","[-0.41128797634440195, -0.324611841940385]","[-0.05186464884624309, -0.2222388727622211]","[-0.17400566254176636, -0.47901617305587185]"
"[-0.1645575943161836, 0.3107167845684044]","[-0.012215773561458672, 0.14471517406482196]","[0.509448088070987, 0.0776933991673353]","[-0.030405664101704897, -0.07407262949055607]","[0.12692578152850822, -0.20476420285336464]","[-0.258442091395948, -0.1380407712344617]","[0.3095758847470703, -0.10398502926256156]"
"[-0.4702222704119318, -0.015469977043059059]","[-0.2606476833076182, -0.21660354062018963]","[-0.1907947817167258, -0.4540360338691631]","[-0.24721406581610866, 0.006741045102771286]","[-0.031813658324363274, -0.14467373717773702]","[0.16805120053064498, -0.10922843170583238]","[0.2124629464673686, -0.3408299496143555]"
"[-0.05723377447166062, -0.04328863181056689]","[0.16136084134000053, 0.4832138974082412]","[-0.2562902200994821, -0.10875690089373151]","[-0.45004410834131564, 0.16947360187937305]","[0.14160310897400807, 0.05642782595998572]","[-0.21176745083579923, 0.1872211261925866]","[0.045087120500100976, 0.23974130592591172]"
"[0.5728223858522775, 0.13400358854100214]","[0.4074620811991629, 0.30872347627457325]","[0.17428883947237042, -0.29972331680197367]","[0.2584746023846143, 0.10634721308848266]","[-0.2739198793530963, 0.3664167993522529]","[-0.021352275208152503, 0.26609946571838594]","[0.21918851863275848, 0.4351407760034951]"
