"[0.10147579539654922, -0.3405261616169016]","[-0.04479492487392267, -0.5568887708393726]","[0.2766016257796895, -0.15637882625311278]","[0.3352735575601411, -0.3794924406652575]","[-0.13534847404500017, -0.27773272177888503]","[-0.13641628703096562, 0.15820309126464002]","[0.01004346756656629, -0.12137761348073259]","[0.15606501676582923, 0.11753224268223832]"
"[-0.0823151016214225, 0.09030963754490404]","[0.23104606788721865, -0.2906240349407812]","[0.20280628536059592, 0.09771963311390656]","[-0.3077945893732489, 0.3113037820310713]","[0.0684511045097519, 0.30346045763705026]","[-0.11895146434836726, -0.3406623036067973]","[-0.20411363159543358, -0.0986807768717448]","[0.04716349340964921, -0.2081807030329032]"
"[-0.040121412800209866, -0.1878226277943756]","[0.03379031520964409, 0.0954854643906108]","[0.38456450774478196, -0.1929615023205675]","[-0.2118960246249515, -0.34050017820658607]","[0.13267736682737985, -0.3019468983399468]","[-0.18245040619647857, 0.1719913962066862]","[-0.19494804684798658, -0.05709998687159608]","[-0.40602625885917365, -0.17795344332015664]"
"[-0.39689190413474695, 0.24605984318276733]","[-0.393923895200887, -0.15683162830977648]","[-0.05566259181474618, 0.48886821039639794]","[0.001434756102445742, 0.1765768275310204]","[-0.31960036799255254, 0.03410515122398487]","[0.06992856358205223, -0.02476195068298393]","[-0.15659717971769552, -0.12102349309973705]","[-0.1349524122760348, -0.3498778490092644]"
"[-0.35756024754416765, 0.38541964890184643]","[-0.25354331153107873, -0.030378887059927907]","[-0.46692951043417763, 0.19023841337508915]","[-0.4688584920952798, -0.0706157566158279]","[-0.026578642544956253, -0.1842530313004157]","[0.265653021181726, 0.11082165493120538]","[0.07721542553955614, 0.033774854299509556]","[-0.17974484198651042, 0.216461874647149]"
"[-0.19071537985990542, 0.13834829966585158]","[-0.23924397589119878, -0.4396247422149695]","[-0.5280448291405685, -0.1252433002495536]","[0.041523352005720916, -0.4645693631964977]","[0.15268155296949915, -0.23378293005085432]","[-0.43055854981033076, -0.3409321092152734]","[-0.09827962569116604, -0.2958006670029083]","[-0.2726858865707987, -0.0564600813238146]"
"[0.34119857630918815, 0.3643767922084342]","[-0.4467129398197157, 0.32376276438199536]","[-0.10257826122944853, 0.4962398255224376]","[-0.060159144177193265, -1.7290111547664349e-09]","[-0.0547953441584377, 0.21037681352196344]","[0.1502520831201715, 0.20703779571642006]","[-0.2414818618416508, 0.29266471297572905]","[-0.30838559536759025, 0.48369713723769486]"
"[0.43648042184588187, -0.033721384146039424]","[-0.1403404619622724, -0.34478201684957693]","[-0.12789866581755932, -0.14277807503601136]","[-0.1373550488454628, 0.08264274788630259]","[0.08403245837414025, -0.2519253098364002]","[0.0868345008222452, 0.1937072992504614]","[0.06482853067053151, -0.015253881211054133]","[0.41564225117331566, -0.2771416724493079]"
"[-0.0728474653881043, 0.062458773701491596]","[-0.5233960796543139, 0.1658185905832092]","[-0.19789884547671704, 0.2399162648184745]","[-0.5714403741830182, -0.08708448006202721]","[-0.2700273767700468, 0.013925396433273462]","[-0.2209366772259832, -0.18670367079188935]","[-0.4061886555704541, -0.2865250239471153]","[0.08971952848697187, 0.3553512935926075]"
"[-0.299417134188889, -0.17366013077812023]","[-0.5007573710629081, 0.21288984825302265]","[0.11937803230855039, -0.016448622406729948]","[-0.1674458127290821, -0.02296776000546822]","[-0.048501662582814735, 0.2691821232990131]","[-0.28925861714941314, -0.44678197051624136]","[-0.04375267742971964, -0.27379945056422866]","[-0.4251446700082957, 0.0007918904933140935]"
