"[-0.3415248269865541, 0.46329426681262126]","[-0.38920924744417684, 0.17188823551288812]","[-0.2668097719252111, -0.30431013400235296]","[0.06480331193825532, -0.08643940485001275]","[-0.5357710202312417, -0.20204225978218116]","[-0.0771141600800468, 0.3523169162134017]","[-0.18559589979634933, 0.10289498183416086]","[-0.5357107041227284, 0.01582460003409996]","[-0.2536576491861674, -0.10445722610483563]"
"[0.49583440057336237, 0.044833630758760436]","[0.23696489485953326, 0.3077292368472654]","[-0.15686358928095093, -0.20657435685234912]","[0.05878856263028834, -0.28180338545093936]","[0.269911691517462, -0.5046135610128653]","[0.2720797221897473, -0.11278309532829048]","[0.07693182995281997, -0.03844688857618898]","[-0.06805662707649954, 0.12741849584077813]","[0.24136924758264253, 0.10715020548662496]"
"[-0.32759779677837303, -0.08325065805247059]","[0.1468136918713171, -0.15265624281214676]","[-0.16761399597622578, -0.4049422123679084]","[-0.3021419268988822, 0.12512588575909012]","[-0.06902093936495975, -0.1661480709733844]","[-0.4935786629150176, -0.32257006110585795]","[-0.09825645054930589, 0.03612130998743382]","[-0.48920739485249126, 0.1971363236704329]","[0.03405144287475603, -0.38850214493780016]"
"[0.059178328915258864, 0.5012534281893495]","[-0.24753961233266694, 0.3901467462758394]","[0.3446088622485221, 0.31396515210997605]","[-0.32590620440574314, 0.09865510915871888]","[0.3301938467218599, 0.049326245853763745]","[0.03993679623610622, -0.03227912702145699]","[0.20803354305433314, -0.18979568286134868]","[-0.14291241816502182, 0.18603383681148591]","[0.10222510594654159, 0.21808574850936446]"
"[0.12937433233257073, -0.08611975572795692]","[-0.4889621752839135, 0.26436606712463084]","[-0.03508655493129056, 0.12187670793511861]","[-0.2849545741028707, -0.42842573073953616]","[-0.5787531814899392, -0.0696109635623218]","[-0.10966145749578057, -0.09478051881864245]","[-0.0878542819633539, -0.3283402932725691]","[-0.3024577627686793, -0.22336602984034148]","[-0.37344452912265297, 0.04888794948830411]"
"[0.0224637054167994, 0.0016605671949499895]","[-0.028890090732727223, 0.24492955273662134]","[-0.026992259985868704, -0.20733451928861776]","[0.25916881408018144, -0.31805801847221504]","[-0.13130766009691386, -0.3847158312569482]","[0.3297353338858921, 0.26174805119263445]","[-0.1888134376620642, -0.06782253383656417]","[-0.20204133098125335, 0.14046330618841785]","[0.34935893605503876, 0.05819573016271075]"
"[0.49491742130241256, 0.07314077300226714]","[0.1310253359258343, -0.2692741510576031]","[-0.027010450541284148, -0.007783494253691765]","[0.14954586949237386, 0.3533357728688652]","[-0.06685966335693393, 0.2758336988140768]","[-0.20201193205934456, 0.1271725068860401]","[0.373572381957405, 0.4338164298790759]","[0.3197910130052659, -0.0921595287213503]","[0.14090352680337653, 0.12401338897032552]"
"[-0.5217882517935528, 0.02412069924973181]","[0.0034147416995165985, -0.5351196677984799]","[0.06428440994987572, -0.044200489506788704]","[-0.2048050180725522, -0.3997221372716153]","[-0.15031525314615024, 0.252165797112906]","[0.1736843905377789, -0.2673627183000628]","[-0.1606218375994268, -0.00943441934380543]","[-0.08597868015103746, -0.237394551483451]","[-0.35424168722204186, -0.19444348550766868]"
"[-0.2690468932907308, 0.37953408673407696]","[-0.2642031193390108, 0.017289846911927878]","[0.02961060768416603, 0.4889050067562599]","[0.023967047564884884, 0.13895830178181368]","[-0.07248674800396118, -0.11196541557679461]","[0.3248344089218614, 0.07739699662443927]","[0.17471886801200323, 0.27163217317419774]","[-0.4416693346113281, 0.17927347090318124]","[0.1394763114808921, -0.06816072104880087]"
"[0.1792969127258589, 0.035574928008006816]","[-0.5407941532548285, 0.009008431013355658]","[-0.19460770429588642, 0.5548141353755337]","[-0.3959783238013202, 0.22151565650046087]","[0.1319682698014538, 0.4143028763166742]","[-0.10834369384482859, 0.3649956653306682]","[-0.014113166705142568, -0.14012414238975543]","[-0.21095673657147873, 0.13327519027414478]","[-0.004749532755795271, 0.11820181975719875]"
"[-0.05202318576839254, 0.4680589656047927]","[0.12831627868392603, 0.34931656591988847]","[0.15882457435365369, -0.1514953871677746]","[-0.43712677561973806, 0.027945124822457788]","[-0.10234416206244892, -0.33211951238992793]","[0.19945456908816556, 0.07267516060135686]","[-0.04315704702937649, 0.15536946032395998]","[-0.16770075230155004, -0.06540407457113682]","[-0.2445664723050348, 0.14422729166860845]"
"[0.22843902566567123, -0.23766250729054092]","[0.26077949635554254, 0.03381812719123679]","[0.022511554356666384, -0.12941203483204175]","[0.14312564378699047, -0.4737089734151676]","[-0.17457311453220686, -0.22802459321254193]","[-0.09798002524224955, 0.0660679564470521]","[-0.11895484660301754, -0.46477545773186346]","[0.09080556159814893, 0.1642149060058193]","[-0.38399262497924175, -0.3296708001142106]"
"[-0.2190442554045879, -0.13862595907522615]","[-0.010534136671264491, -0.03053212196512711]","[0.12988530693724476, -0.23001001905457033]","[0.16358657115656425, 0.19929051321436037]","[0.2088284488306856, -0.45887964609276144]","[0.4208873618421922, -0.33948220619218716]","[-0.0767147110070345, -0.37443352966393284]","[0.20482145349020583, -0.01658411298369232]","[-0.20857656667602859, 0.12451672392670021]"
"[0.15540979685794143, -0.1404076903919516]","[0.30236110282937706, 0.17621643579008545]","[-0.1098585431789128, -0.20898272399320517]","[-0.17177301029617287, -0.4668876172380956]","[0.04575688837117557, -0.3667233968107427]","[0.35946289440733253, -0.34780062513913207]","[0.3346071981350943, -0.03663954120607331]","[0.14551825137039737, -0.5663925308635434]","[0.5486885709629601, -0.17494152197729856]"
"[-0.29883696084687444, -0.432004700292419]","[0.10114440139766354, -0.07128756410292547]","[-0.10989522105939117, 0.34047917542452355]","[0.08392039882137332, -0.2890529480369703]","[-0.3347670714270465, -0.15318733782402727]","[0.004026097512523746, 0.15314101492237012]","[-0.09958310258526575, -0.025500508938070182]","[-0.1987904409614694, 0.15432860264506984]","[0.27801743460834044, 0.18303595683056326]"
"[-0.2692471331797404, 0.09594141950746202]","[0.03829862197476742, 0.24625948691165375]","[-0.5298438439215383, 0.2447028773997812]","[-0.07698898203955755, -0.030321978388015168]","[0.17079536279269894, 0.0045258566276863785]","[-0.22350183852655497, 0.2998776809219519]","[0.2620638343424338, 0.23165823378464676]","[-0.009595918383516729, 0.4516985160893618]","[0.20717496952515843, 0.44740426617654483]"
"[-0.30233361314730456, -0.3988261620506081]","[0.2447222981313928, -0.24386859600757382]","[-0.2677680410705331, -0.17370687174772284]","[-0.47059981274908436, -0.24247348034461058]","[0.009877585881932572, -0.5742478179462689]","[-0.44751395784326053, -0.00520686463782793]","[-0.19759489508177422, 0.21083133016773553]","[0.05294483542478893, -0.1659294244235331]","[-0.06298401460039359, -0.33101207221092865]"
"[-0.5776435160091271, 0.021660122137481808]","[-0.2944654449431302, -0.19748625623358454]","[0.045555533126507286, 0.12646439813940966]","[-0.19955986253377908, 0.1613208194398086]","[-0.033784576798460204, -0.3397801733738792]","[-0.09343119479249509, -0.07566057435450275]","[0.1588111965421019, -0.06288000634572127]","[-0.22586037277932297, -0.4504660099713857]","[-0.5295430296301454, -0.23401329697644996]"
