1,2,3,4,5,6,7,8,9
"[0.46628601751002285, 0.12197617226191985]","[[-0.40295961353468523, -0.33947470962363085], [-0.23663605411983973, -0.22749761394439932]]","[[0.06695044750400271, -0.4036822973150869], [0.2898428615912539, -0.43752325319744867], [0.2484486434572057, -0.2241911098289173]]","[[0.13421512820946938, -0.5336194340609706], [0.2622623892029083, -0.3575253733063478], [0.024533045116508903, -0.3376850530006363], [0.166924465117498, -0.0963569090623874]]","[[0.27183890960736007, -0.2807898153303064], [0.09520185447546438, -0.14661409162522948], [0.4811798017999712, -0.08799056171856828], [0.2824926782126669, -0.029701986940959574], [0.07325476391384783, 0.10525290151012107]]","[[-0.11553075830627273, 0.47698778124428043], [-0.1112787518129194, 0.10456141670764223], [-0.48855705683845824, 0.21494657582805063], [-0.2538299919008863, 0.2532006538804931], [-0.3271837865365474, 0.4662148945367939], [0.006792750312598743, 0.27345996435494924]]","[[-0.3423230189937584, -0.41219609722212536], [-0.1182323968952694, -0.35552357509158045], [-0.4111032443031386, -0.006313161275750597], [-0.5095560862941229, -0.2529410328503813], [-0.2588176969072235, -0.18091026219072012], [-0.0026253510642934245, -0.12197054074907589], [-0.16586784627322051, 0.0941069694468023]]","[[-0.3869743371455666, 0.15388434217336297], [0.11424038932868294, 0.18734519769139274], [-0.06602262913525138, -0.20199883598953133], [-0.13221522482970946, 0.16661696891490863], [-0.2408224703751142, -0.03724946932993881], [-0.01219752370661542, -0.004327099574405561], [-0.20345141844285677, 0.44978546357431476], [0.2450906497331586, -0.012808503174003826]]","[[0.15603996265512696, -0.0872053538661942], [-0.29211765964195757, -0.04110002513656992], [-0.071087909845803, -0.33174387981618686], [-0.13011395490928096, 0.2584597801106329], [-0.08364541374476576, -0.0980664528631432], [-0.26669569773039664, -0.25481833902542456], [-0.35582819085755485, -0.4494505046102014], [-0.1269674344078877, -0.5566175884613933], [0.011820482989003244, 0.07934247632600783]]"
"[-0.31757534052014, 0.30709612076893067]","[[0.28379985726396956, 0.19228106150028407], [0.10160376615595414, 0.2763535177041957]]","[[0.041215869578383385, -0.00689674906403758], [0.17500875751152645, 0.21459232562634095], [-0.03632281132631849, 0.2012994076415249]]","[[-0.1807894278345534, -0.050693892368996955], [-0.03778933673514029, -0.29773510453537966], [0.0747201162679791, -0.1287424711559737], [-0.02241484737224569, 0.07404475448468936]]","[[-0.47409275164437775, -0.17842554437930905], [-0.28800513042966097, -0.4059597382025641], [-0.20075697267214665, 0.008887320625593834], [-0.2708677629513771, -0.1868162154653106], [-0.0886924353013077, -0.2820475711339636]]","[[0.21259181929123794, -0.28356491423097735], [0.48303195854319764, 0.06048455888335473], [0.22913681079270962, 0.07473613686017411], [0.4939377514137012, -0.2837040300549214], [0.055643620130747785, -0.14290468481535015], [0.3711413815128542, -0.10952979375652658]]","[[0.3899189512010899, -0.40728696153528776], [0.20392863561369634, -0.3305625840210526], [0.31626985815109576, 0.13567824844623666], [0.5017338684339655, -0.028549680114735937], [0.11648855723187378, -0.1078833072829627], [0.07041138378868489, 0.08730219371944997], [0.32910598476010167, -0.13660711058181768]]","[[0.2695774744445919, -0.006239189610034271], [0.562582848369008, 0.10338967896652898], [0.24075709842543627, 0.2415297589697605], [0.16944247952526825, 0.43473569867318385], [0.009973801462114143, 0.2622623098226203], [0.4378981685404615, 0.30984992123658367], [0.345623627049791, -0.19390063473497438], [0.01218861403819752, 6.35764658527089e-05]]","[[0.08305850914464513, -0.5442468290176591], [0.035628337695759515, -0.10623885656661826], [-0.40455734034313895, -0.4103448572564978], [-0.27695520492017833, -0.22921059622728732], [-0.0679181879583315, -0.31282249044743377], [0.15394835823740735, -0.27999833282003045], [0.36545074601266236, -0.2024769979494575], [-0.18616414474285772, -0.004612976462616847], [-0.15152437179077458, -0.5570863580044498]]"
"[0.03111034986587176, -0.1137363894063533]","[[0.06661886780735636, -0.3109770134588511], [-0.03502229105109153, -0.4833380692870097]]","[[-0.09236249555143743, 0.14437879021360575], [0.06053771141254397, 0.008702735453236923], [-0.17336599953316903, -0.04113967592870183]]","[[-0.47693618450386616, -0.1525114564248906], [-0.12413069550496705, 0.03327587270375396], [-0.32964510574757994, -0.012304557788591533], [-0.22851041427491325, -0.22018408257550984]]","[[0.07471778162596296, -0.10525453490666745], [0.30258431325283514, -0.18125951612401361], [-0.10797831538154114, 0.025200229490558432], [0.07898181201564736, 0.11749757771993925], [0.31731369449760916, 0.032388289652815004]]","[[-0.3495133471434448, -0.27378397825191725], [-0.13100446626766318, 0.13866361521721876], [-0.5155090776439144, 0.11776884681908774], [-0.4780287848267884, -0.11588239978167382], [-0.11897161770401087, -0.0933943475842369], [-0.303431097341306, -0.010759678588622423]]","[[0.3474653327129969, -0.31878285251617694], [0.04167069501601444, -0.04495125607964222], [-0.05005146056072613, -0.501422524998621], [-0.11295401278341419, -0.30095052262615135], [0.08710344590613708, -0.2932726077696002], [0.25592372840254046, -0.13825923460737455], [-0.15770825932276006, -0.07757053521742455]]","[[-0.4639556696772753, 0.10472599959088454], [-0.22970357876872852, 0.24758381400794424], [-0.060094057158436125, -0.14613975383200573], [-0.022569829209962654, 0.2677975872319761], [-0.3077859326170116, -0.10488986274105515], [-0.16040535020917, 0.031608708128470005], [-0.5175577931920246, -0.20517812764611504], [0.1194024413118107, 0.007837779916585986]]","[[0.17250841666444466, -0.5173949811024123], [-0.03744062107829021, -0.3895067986023326], [0.30010350549611725, -0.35742528465303014], [0.33064876224298684, -0.08057424749072183], [-0.16743636965090838, -0.09291053242622109], [0.1226827020066543, -0.24711763375004436], [0.047527772487498496, -0.037432207059122605], [0.20928928941955194, 0.09999474740890861], [-0.30040876562534896, -0.42726910911839744]]"
"[0.1049869166116724, 0.1335000464341748]","[[-0.4579128382498026, -0.013317831223324628], [-0.28624676016543393, -0.11681778735554697]]","[[0.29938275938101017, 0.44415474715472736], [0.13070782598704628, 0.5557174004537693], [0.11832456902218637, 0.3273615767427578]]","[[-0.045256114861740894, 0.2798656300268403], [-0.02131053084637037, 0.4849425601475732], [0.17666180860848907, 0.34430389164600056], [0.0747630441556118, 0.10387908342824508]]","[[-0.4702494158317004, 0.19352793081356498], [-0.36864189631283095, -0.2113573127283173], [-0.3573601989406874, -0.007363185939446715], [-0.15559938224235453, -0.02548680069503583], [-0.25069196230576396, 0.1747846118010945]]","[[-0.06594826066790033, 0.1051940440944823], [0.15491437476435005, 0.24610541937573027], [-0.07004887042171212, 0.3755397070333221], [0.22920853754483062, 0.04629278748534093], [0.14611265926610215, 0.46549762069565603], [0.352938231914746, 0.33060025924169734]]","[[-0.026372969700101213, 0.05085620782211805], [-0.16304282038196347, -0.3616501386780019], [-0.013762327205412121, -0.14910430285435466], [0.14729449770710015, -0.3647544547161306], [-0.22494517313234175, -0.12035103032643314], [-0.36514670174418407, -0.33057163197754225], [0.21417125919861074, -0.06627923590771367]]","[[0.4694715163891994, 0.13329625263481096], [0.14358160208090395, 0.35167434699812705], [0.41559735975202405, 0.3690190921299561], [-0.041805684447173724, 0.4315913723966695], [-0.04993254304034498, 0.2285123563850015], [0.25337459258073897, 0.16365346604105616], [0.18476510797087844, 0.5481483313560797], [0.14868800337579569, -0.10349430855878591]]","[[-0.03413633707233166, 0.539775862693792], [0.03045342777742709, 0.14881397110038386], [0.3968101769942594, 0.3516381959676015], [-0.12464897846505978, 0.27513009849494485], [0.24828272947848068, 0.13372878599656182], [0.1825630446668698, 0.5466865974155928], [-0.40057775338259505, 0.3148646888607764], [0.06988801613907401, -0.06658504348068199], [0.07277149512897427, 0.3699912437376705]]"
"[0.5668064281626585, -0.020013277593342628]","[[-0.5356907773971091, -0.01454049690556478], [-0.3936553319468624, 0.1263392020735458]]","[[0.2768253388883432, 0.03346297355107007], [0.11287187477499526, -0.09417797505773098], [0.09003622344097514, 0.12370024427926096]]","[[0.010836700166572746, 0.3385055392368038], [-0.21755291078517647, 0.23172276430217797], [0.04881011250022837, 0.13413393103699342], [-0.16894730197854985, 0.4434327172909165]]","[[-0.11834215492801986, 0.412508379109845], [0.31881799646300274, 0.30859303438359803], [-0.06368743078099719, 0.10105058071702504], [0.1133485112468387, 0.46262203184429457], [0.11957051434631445, 0.24197418837926052]]","[[0.1982846419110591, -0.5292804859653952], [-0.09533153174900855, -0.5647367288422243], [-0.1659446600366624, -0.36958438178462333], [0.23572970018209544, -0.2476946313124468], [-0.023160452264027947, -0.17140847685647978], [0.035419311136148636, -0.3737635646361638]]","[[-0.23675386446936744, -0.019099737415117023], [-0.3793299299598963, 0.3840296974489508], [0.16444052853698826, 0.25964081185693966], [-0.17441972694422359, 0.2376971805458075], [0.025313303261310992, 0.0859287266400301], [-0.3760941870171968, 0.1722047307528389], [-0.012854506600276856, 0.3778399739802858]]","[[0.15461278376755175, 0.017690045563684864], [0.4404146441246234, 0.21813023399178458], [0.05487595867990863, 0.4084021637362207], [-0.13585566436679766, 0.08658391491112073], [0.3753260993018466, -0.0029057217730488138], [0.24206240898487613, 0.3367355195829085], [0.06992318211572668, 0.2078151862649802], [0.2541279777615451, -0.17357647893213385]]","[[-0.23139737267821464, 0.4582894628988488], [-0.22563640623437264, 0.09161215191469056], [0.08653997658409265, 0.18408404769425912], [-0.34134765149242685, 0.2795210921938051], [-0.45752590330905135, 0.08752711185150099], [-0.035040587470716034, -0.07657027701648178], [-0.27120713465948276, -0.1309343981320133], [-0.3537313425617488, -0.374673418779248], [-0.09309732942360581, 0.2754840453600595]]"
"[-0.22356924330877379, 0.41145231278245986]","[[0.02987007740145294, 0.4330921892138179], [-0.1698845640653836, 0.4119973540264252]]","[[0.026071599024748527, -0.32860913997604846], [-0.11834724389398482, -0.18584523127985947], [0.10068982493997472, -0.12518245043845455]]","[[-0.4116264312708952, 0.16775371224632304], [-0.5618780911112883, -0.04134114392370045], [-0.3363713887364365, -0.04915619770205748], [-0.48212301157369764, -0.2249233832905235]]","[[-0.08538919239777085, -0.3767281323802813], [0.14382612128503536, -0.4947333592336123], [0.2503732289573559, -0.06783159190520484], [0.07777572498152553, -0.21879460077906046], [0.26544561712664855, -0.2975172507008621]]","[[0.20407874700173578, -0.003607462636592132], [0.19900023894327637, 0.3924983297162132], [0.3038969651674081, 0.19297037853131338], [-0.03476334221878716, -0.0007504963676470482], [-0.04769005191199877, 0.33834827157296915], [0.0832402191747092, 0.1716866405281877]]","[[-0.0009033409944170771, 0.42006327366100915], [0.07504475251916, -0.022201311189229547], [-0.3616170585675141, 0.16750883091546095], [0.025412283732210435, 0.18669523424894663], [-0.17132175432412022, 0.2677160973152203], [-0.13541388111710323, 0.00927786556165188], [-0.3032959001003911, -0.13806764794565113]]","[[-0.3167478768396544, -0.2124469325344782], [0.11150510454677101, -0.25361932254341324], [0.17657050060311263, -0.496926349220185], [0.20833757931744315, -0.0002320808252021913], [-0.0015234955214533466, 0.034722119540356526], [-0.10690598217119997, -0.19846612199298916], [0.32498422138424443, -0.23444872628509345], [-0.054741640541526956, -0.4230750989992696]]","[[0.27429149071172837, 0.34251676390746333], [0.46797507249945486, 0.005491811463162166], [0.21235580877939833, 0.08757146436558581], [0.046223583492975936, 0.2932249054251131], [0.07051592556679111, -0.0704922843318231], [0.30438918969270623, -0.13028831600800136], [0.11534598117609637, 0.5236829685630697], [-0.06673610159464062, 0.12515255452502297], [-0.14439101605953233, -0.1332028051536465]]"
"[0.2287398259034258, -0.3932960849464651]","[[-0.19482721327365293, -0.5079820576301489], [-0.36119809377872014, -0.396546877814361]]","[[-0.5599668940784417, -0.1503624274944763], [-0.33715825845103314, -0.1742393560729378], [-0.447658281307079, 0.035586458508876644]]","[[0.3225849294362846, -0.13157286681700714], [0.2615083713376798, -0.38790318245483907], [0.48399895238698887, -0.2981397300552969], [0.514252162939949, -0.043630752066028525]]","[[0.05896558140131438, -0.5342250951568444], [0.41924064092593105, -0.38742881471212404], [0.0789485457987589, -0.15857793529431863], [0.19859038409043042, -0.3300393182504279], [-0.04229804568701367, -0.31959008629620334]]","[[-0.25199583264674774, 0.1645076628059283], [-0.30980015185235615, -0.30059811601219943], [-0.3416104032120793, -0.08609002542292095], [-0.44539923421558947, 0.10453038353258776], [-0.10444623085343022, 0.0009067836503606603], [-0.5495015018291214, -0.1770200348029928]]","[[-0.4260259763687212, 0.0015611622021723967], [-0.003169876971998007, 0.13415651360788267], [-0.2586764037849864, 0.4417783913692737], [-0.4397986643511286, 0.306274470342183], [-0.0069778791964768315, 0.3653924841843964], [-0.25662591460159173, 0.21046748777052526], [-0.17930648864359452, 0.007725268650954965]]","[[0.28112832868380594, 0.3075763237432237], [-0.21381995858864508, 0.197554992839043], [0.14035436555963224, -0.1470740351963634], [-0.04856350071149823, -0.017306043905309515], [0.12070301707556046, 0.11279463428917226], [0.35236156425888765, 0.046198621115284964], [-0.012223412543992913, 0.3265760435025566], [0.11745206869397669, 0.49408919182137495]]","[[-0.25982930089867384, 0.41046177320377714], [0.2391912210628672, 0.4152301159030731], [-0.011899047454085643, 0.5103750441914148], [0.15826907621474634, 0.20577518054892585], [-0.29033424199965224, 0.2058356795488901], [-0.056026696670660174, 0.08152775180209879], [-0.32571421803823364, -0.002973879155612714], [0.39820859476685, 0.29236875228581105], [-0.06367065787951752, 0.28966088639372295]]"
"[0.15956500649880873, 0.2640393008039057]","[[0.21195259569903124, -0.4986433684978455], [0.023877440871594643, -0.42921284787985464]]","[[0.3835821938049364, -0.20766469641190155], [0.321707527308891, -0.4175939354614905], [0.1897943789354585, -0.2642367600490923]]","[[0.37520814465037905, -0.4432880181017862], [0.4692830223283075, -0.19655799526205012], [0.3063896805601884, -0.036788685454167226], [0.2471196723673293, -0.2344474043623998]]","[[-0.3632963637400461, -0.33792544526642676], [-0.48189922448633543, -0.036156829306921726], [-0.2958020468624338, 0.07292024124872273], [-0.10639492237515816, -0.0008972940205680791], [-0.20818262001932955, -0.17666930306052683]]","[[-0.31609589870198396, -0.31007670116123803], [-0.4478311917512715, 0.10082722748193511], [-0.2864981571692688, -0.05140390439239721], [-0.09675803094031296, -0.12021517342888931], [-0.4941273593136662, -0.13098935533792763], [-0.1300426850498692, 0.1160403058404222]]","[[-0.2877807563129739, -0.2392998172879968], [-0.4930284393840153, 0.02918626900802282], [-0.13307942101536208, -0.4135874564509098], [-0.1727922191076213, -0.04289663127052677], [-0.3943840059764042, -0.4351600913800347], [-0.03321109949484203, -0.21096883087625085], [-0.5418728138863746, -0.1990057631286019]]","[[0.34834348934164344, -0.28812382596974456], [-0.10329597477015798, -0.5243874580500916], [0.11080732975293575, -0.39067626210733153], [-0.006800183936578442, -0.10390350920236302], [0.17453264242573352, -0.004648084789036161], [-0.11839138898177409, -0.2765800857961495], [-0.2122949223397977, -0.08354151726817095], [0.0010823045536620208, 0.09995244087301837]]","[[-0.06218673389315922, -0.4689115343027075], [0.3660477402554353, -0.15396192139437054], [0.1401329754895462, -0.14262156541192547], [0.12293598154832706, -0.38779640022673934], [0.42645158233284447, -0.3607859009111275], [-0.06238477126329685, -0.2564764349502154], [-0.2584688277182379, -0.29964401945706215], [-0.11312192996032899, -0.05439345917292958], [0.19096873654163896, 0.1321853744035435]]"
"[0.5286010678554951, -0.2554598500704326]","[[-0.19266755722762574, -0.036106715323925336], [-0.096675332858716, 0.13967695308521302]]","[[0.13574725429899362, -0.5423283227425341], [-0.036793286563257144, -0.3768814925557267], [0.16175487704753985, -0.3348017255345844]]","[[-0.46485289602757673, 0.3603628353310837], [-0.30733625211232357, 0.21626236973196436], [-0.38991578213366157, 0.024479253410336757], [-0.570234662048439, 0.14093512067028166]]","[[0.36014554898799966, 0.387810422325294], [0.055757472799778995, 0.16941293674392635], [0.2210739480460382, 0.008175952352481365], [0.48495712857242873, 0.07425785546611247], [0.25975240449222103, 0.2092734881649904]]","[[0.0015484977009578463, -0.37153509484940705], [-0.24631791352898516, -0.16063896847060222], [-0.21037316856202723, -0.37491302730087106], [-0.14520134419833938, 0.05228402714841561], [-0.41979900021501537, -0.27073368115662844], [-0.020720382871846178, -0.14076137757070492]]","[[-0.2822174821233986, 0.002117056236134186], [-0.10673242512413421, 0.4781556216085482], [-0.18432519539246728, 0.19072201575640843], [-0.4524596318479574, 0.13966285650530724], [0.06907010423411483, 0.2912708813513049], [-0.07412436007020941, -0.021022205933558278], [-0.3208835015251209, 0.3986768431743725]]","[[-0.30918623351354413, -0.2762980118811315], [0.03442122464869854, -0.32944299641312663], [0.20656618624830034, -0.4515266663928406], [0.20458815773351877, -0.002924552385479317], [-0.054765695239429084, -0.14491701700869716], [-0.0008776159608741382, 0.05441634750414142], [0.19975410704164612, -0.21252729673777132], [-0.19330391669800595, 0.14377227853430027]]","[[-0.011980588702785358, -0.14271344386551676], [-0.15345504415890063, -0.3599837049237609], [0.2909474261289129, -0.3591516282942406], [0.16239073734315843, -0.5386624114967425], [0.2227638828830022, -0.11271380419745088], [0.06426208015886789, 0.04859175461581491], [-0.3648571389210414, -0.3413683676300365], [0.3831858227582706, 0.019718563726728144], [0.06479696894599615, -0.3534524636945761]]"
"[0.4420174282329864, -0.3383815273201445]","[[0.038501021189721846, -0.3380528513692932], [0.2360793696083702, -0.306423538752856]]","[[0.4995185571857965, 0.14229679706320136], [0.2944600495073675, 0.23335097983198633], [0.330752226915583, 0.0299241169750933]]","[[-0.24231220575667195, -0.22966258239168486], [-0.5136420973432148, -0.13696856920477488], [-0.4300726721285167, 0.13088957628356482], [-0.3148289313469241, -0.03851715211982174]]","[[-0.3593586909609717, -0.014123405231526708], [-0.016214713675271986, 0.25764317450247104], [-0.14180258575993823, 0.0328893580167688], [-0.4739301778776912, 0.15719809156630632], [-0.2718601341595813, 0.23222304362681612]]","[[-0.4130096743352808, -0.09152271377164663], [-0.19778223104980006, -0.03862987845790588], [-0.5782793278508197, 0.04067119283421001], [-0.2942915267906656, -0.3673297053134895], [-0.33560074172492643, 0.119885218799542], [-0.5263932498355091, -0.25924495598585295]]","[[0.19245168201499255, -0.1876960705048169], [-0.3381443552002159, -0.23329338142126996], [-0.10497405195571721, -0.20200038512761503], [-0.19215049966389516, -0.01485034356210763], [-0.14804808022624072, 0.20187381879058183], [0.049390412829639754, -0.0077734514623590935], [0.08212821656350888, 0.19234027401595055]]","[[0.32983457944800887, -0.09988122376634187], [0.002544499336209532, 0.05447162498302279], [0.49322357980250997, 0.04173156098678792], [0.3398992085464782, -0.3241559212022164], [0.12656458423521935, -0.36323236959635974], [0.5072737450674915, -0.19500703868861743], [0.06482113683766944, -0.1422911224505784], [0.25865538318477954, 0.20042726536108785]]","[[0.5610971552988853, -0.17060184332349634], [0.41375718760989944, -0.015869013459887487], [0.10524493337967332, -0.4151143617417518], [0.33762937987512565, -0.21166948995529247], [0.31978246251342735, -0.42403070142702926], [0.14918584865882126, 0.054317793641313596], [-0.13687229080136074, -0.3544767643123256], [-0.14284940328496695, -0.15361328447573858], [0.09035025664413378, -0.16809195260635462]]"
